CountryName,CountryCode,Date,School closing,Stay at home requirements,ConfirmedCases,ConfirmedDeaths,StringencyIndex
Cuba,CUB,4/17/2020,3,2,862,27,100
Cuba,CUB,4/18/2020,3,2,923,31,100
Cuba,CUB,4/19/2020,3,2,986,32,100
Cuba,CUB,4/20/2020,3,2,1035,34,100
Cuba,CUB,4/21/2020,3,2,1087,36,100
Cuba,CUB,4/22/2020,3,2,1137,38,100
Cuba,CUB,4/23/2020,3,2,1189,40,100
Cuba,CUB,4/24/2020,3,2,1235,43,100
Cuba,CUB,4/25/2020,3,2,1285,49,100
Cuba,CUB,4/26/2020,3,2,1337,51,100
Cuba,CUB,4/27/2020,3,2,1369,54,100
Cuba,CUB,4/28/2020,3,2,1389,56,100
Cuba,CUB,4/29/2020,3,2,1437,58,100
Cuba,CUB,4/30/2020,3,2,1467,58,100
Cuba,CUB,5/1/2020,3,2,1501,61,100
Cuba,CUB,5/2/2020,3,2,1537,64,100
Cuba,CUB,5/3/2020,3,2,1611,66,100
Cuba,CUB,5/4/2020,3,2,1649,67,100
Cuba,CUB,5/5/2020,3,2,1668,69,100
Cuba,CUB,5/6/2020,3,2,1685,69,100
Cuba,CUB,5/7/2020,3,2,1703,69,100
Cuba,CUB,5/8/2020,3,2,1729,73,100
Cuba,CUB,5/9/2020,3,2,1741,74,100
Cuba,CUB,5/10/2020,3,2,1754,74,100
Cyprus,CYP,3/24/2020,3,2,116,0,96.43
Cyprus,CYP,3/25/2020,3,2,124,3,96.43
Cyprus,CYP,3/26/2020,3,2,132,3,96.43
Cyprus,CYP,3/27/2020,3,2,146,3,96.43
Cyprus,CYP,3/28/2020,3,2,162,5,96.43
Cyprus,CYP,3/29/2020,3,2,179,5,96.43
Cyprus,CYP,3/30/2020,3,2,214,6,96.43
Cyprus,CYP,3/31/2020,3,2,230,7,96.43
Cyprus,CYP,4/1/2020,3,2,262,8,96.43
Cyprus,CYP,4/2/2020,3,2,320,9,96.43
Cyprus,CYP,4/3/2020,3,2,356,9,96.43
Cyprus,CYP,4/4/2020,3,2,396,9,96.43
Cyprus,CYP,4/5/2020,3,2,426,9,96.43
Cyprus,CYP,4/6/2020,3,2,446,9,96.43
Cyprus,CYP,4/7/2020,3,2,465,9,96.43
Cyprus,CYP,4/8/2020,3,2,494,9,96.43
Cyprus,CYP,4/9/2020,3,2,526,9,96.43
Cyprus,CYP,4/10/2020,3,2,564,10,96.43
Cyprus,CYP,4/11/2020,3,2,595,10,96.43
Cyprus,CYP,4/12/2020,3,2,616,10,96.43
Cyprus,CYP,4/13/2020,3,2,633,11,96.43
Cyprus,CYP,4/14/2020,3,2,662,12,96.43
Cyprus,CYP,4/15/2020,3,2,695,12,96.43
Cyprus,CYP,4/16/2020,3,2,715,12,96.43
Cyprus,CYP,4/17/2020,3,2,735,12,96.43
Cyprus,CYP,4/18/2020,3,2,735,12,96.43
Cyprus,CYP,4/19/2020,3,2,761,12,96.43
Cyprus,CYP,4/20/2020,3,2,767,12,96.43
Cyprus,CYP,4/21/2020,3,2,772,12,96.43
Cyprus,CYP,4/22/2020,3,2,784,12,96.43
Cyprus,CYP,4/23/2020,3,2,790,14,96.43
Cyprus,CYP,4/24/2020,3,2,795,14,96.43
Cyprus,CYP,4/25/2020,3,2,804,14,96.43
Cyprus,CYP,4/26/2020,3,2,810,14,96.43
Cyprus,CYP,4/27/2020,3,2,817,14,96.43
Cyprus,CYP,4/28/2020,3,2,822,15,96.43
Cyprus,CYP,4/29/2020,3,2,837,15,96.43
Cyprus,CYP,4/30/2020,3,2,843,15,96.43
Cyprus,CYP,5/1/2020,3,2,850,15,96.43
Cyprus,CYP,5/2/2020,3,2,857,15,96.43
Cyprus,CYP,5/3/2020,3,2,864,15,96.43
Cyprus,CYP,5/4/2020,3,2,872,15,96.43
Cyprus,CYP,5/5/2020,3,2,874,15,96.43
Cyprus,CYP,5/6/2020,3,2,878,15,96.43
Cyprus,CYP,5/7/2020,3,2,883,15,96.43
Cyprus,CYP,5/8/2020,3,2,889,15,96.43
Cyprus,CYP,5/9/2020,3,2,891,15,96.43
Cyprus,CYP,5/10/2020,3,2,892,15,96.43
Cyprus,CYP,5/11/2020,3,2,898,16,96.43
Cyprus,CYP,5/12/2020,3,2,901,16,96.43
Cyprus,CYP,5/13/2020,3,2,903,16,96.43
Cyprus,CYP,5/14/2020,3,2,905,17,96.43
Cyprus,CYP,5/15/2020,3,2,907,17,96.43
Cyprus,CYP,5/16/2020,3,2,910,17,96.43
Cyprus,CYP,5/17/2020,3,2,914,17,96.43
Cyprus,CYP,5/18/2020,3,2,916,17,96.43
Cyprus,CYP,5/19/2020,3,2,917,17,96.43
Cyprus,CYP,5/20/2020,3,2,918,17,96.43
Czech Republic,CZE,3/15/2020,3,2,214,0,78.57
Czech Republic,CZE,3/16/2020,3,2,298,0,82.14
Czech Republic,CZE,3/17/2020,3,2,344,0,82.14
Czech Republic,CZE,3/18/2020,3,2,434,0,82.14
Czech Republic,CZE,3/19/2020,3,2,522,0,82.14
Czech Republic,CZE,3/20/2020,3,2,694,0,82.14
Czech Republic,CZE,3/21/2020,3,2,904,0,82.14
Czech Republic,CZE,3/22/2020,3,2,995,0,82.14
Czech Republic,CZE,3/23/2020,3,2,1165,1,82.14
Czech Republic,CZE,3/24/2020,3,2,1236,1,82.14
Czech Republic,CZE,3/25/2020,3,2,1394,3,82.14
Czech Republic,CZE,3/26/2020,3,2,1654,6,82.14
Czech Republic,CZE,3/27/2020,3,2,2062,9,82.14
Czech Republic,CZE,3/28/2020,3,2,2279,9,82.14
Czech Republic,CZE,3/29/2020,3,2,2663,11,82.14
Czech Republic,CZE,3/30/2020,3,2,2829,16,82.14
Czech Republic,CZE,3/31/2020,3,2,3002,24,82.14
Czech Republic,CZE,4/1/2020,3,2,3308,31,82.14
Czech Republic,CZE,4/2/2020,3,2,3589,39,82.14
Czech Republic,CZE,4/3/2020,3,2,3858,44,82.14
Czech Republic,CZE,4/4/2020,3,2,4190,53,82.14
Czech Republic,CZE,4/5/2020,3,2,4472,59,82.14
Czech Republic,CZE,4/6/2020,3,2,4587,67,82.14
Czech Republic,CZE,4/7/2020,3,2,4822,78,82.14
Czech Republic,CZE,4/8/2020,3,2,5017,88,82.14
Czech Republic,CZE,4/9/2020,3,2,5312,99,82.14
Czech Republic,CZE,4/10/2020,3,2,5569,112,82.14
Czech Republic,CZE,4/11/2020,3,2,5732,119,82.14
Czech Republic,CZE,4/12/2020,3,2,5902,129,82.14
Czech Republic,CZE,4/13/2020,3,2,5991,138,82.14
Czech Republic,CZE,4/14/2020,3,2,6059,143,75
Czech Republic,CZE,4/15/2020,3,2,6141,161,75
Czech Republic,CZE,4/16/2020,3,2,6303,166,75
Czech Republic,CZE,4/17/2020,3,2,6433,169,75
Czech Republic,CZE,4/18/2020,3,2,6549,173,75
Czech Republic,CZE,4/19/2020,3,2,6654,181,75
Czech Republic,CZE,4/20/2020,2,2,6787,188,67.86
Germany,DEU,3/21/2020,3,2,18187,45,66.67
Germany,DEU,3/22/2020,3,2,21463,67,73.81
Germany,DEU,3/23/2020,3,2,24774,94,73.81
Germany,DEU,3/24/2020,3,2,29212,126,73.81
Germany,DEU,3/25/2020,3,2,31554,149,73.81
Germany,DEU,3/26/2020,3,2,36508,198,73.81
Germany,DEU,3/27/2020,3,2,42288,253,73.81
Germany,DEU,3/28/2020,3,2,48582,325,73.81
Germany,DEU,3/29/2020,3,2,52547,389,73.81
Germany,DEU,3/30/2020,3,2,57298,455,73.81
Germany,DEU,3/31/2020,3,2,61913,583,73.81
Germany,DEU,4/1/2020,3,2,67366,732,73.81
Germany,DEU,4/2/2020,3,2,73522,872,73.81
Germany,DEU,4/3/2020,3,2,79696,1017,73.81
Germany,DEU,4/4/2020,3,2,85778,1158,73.81
Germany,DEU,4/5/2020,3,2,91714,1342,73.81
Germany,DEU,4/6/2020,3,2,95391,1434,73.81
Germany,DEU,4/7/2020,3,2,99225,1607,73.81
Germany,DEU,4/8/2020,3,2,103228,1861,73.81
Germany,DEU,4/9/2020,3,2,108202,2107,73.81
Germany,DEU,4/10/2020,3,2,113525,2373,73.81
Germany,DEU,4/11/2020,3,2,117658,2544,73.81
Germany,DEU,4/12/2020,3,2,120479,2673,73.81
Germany,DEU,4/13/2020,3,2,123016,2799,73.81
Germany,DEU,4/14/2020,3,2,125098,2969,73.81
Germany,DEU,4/15/2020,3,2,127584,3254,73.81
Germany,DEU,4/16/2020,3,2,130450,3569,73.81
Germany,DEU,4/17/2020,3,2,133830,3868,73.81
Germany,DEU,4/18/2020,3,2,137439,4110,73.81
Germany,DEU,4/19/2020,3,2,139897,4294,73.81
Germany,DEU,4/20/2020,3,2,141672,4404,73.81
Germany,DEU,4/21/2020,3,2,143457,4598,73.81
Germany,DEU,4/22/2020,3,2,145694,4879,73.81
Germany,DEU,4/23/2020,3,2,148046,5094,73.81
Germany,DEU,4/24/2020,3,2,150383,5321,73.81
Germany,DEU,4/25/2020,3,2,152438,5500,73.81
Germany,DEU,4/26/2020,3,2,154175,5640,73.81
Germany,DEU,4/27/2020,3,2,155193,5750,73.81
Germany,DEU,4/28/2020,3,2,156337,5913,73.81
Germany,DEU,4/29/2020,3,2,157641,6115,73.81
Germany,DEU,4/30/2020,3,2,159119,6288,73.81
Germany,DEU,5/1/2020,3,2,159119,6288,73.81
Germany,DEU,5/2/2020,3,2,161703,6575,73.81
Germany,DEU,5/3/2020,3,2,162496,6649,73.81
Germany,DEU,5/4/2020,2,2,163175,6692,70.24
Germany,DEU,5/5/2020,2,2,163860,6831,70.24
Dominica,DMA,4/1/2020,3,2,11,0,85.71
Dominica,DMA,4/2/2020,3,2,12,0,85.71
Dominica,DMA,4/3/2020,3,2,12,0,85.71
Dominica,DMA,4/4/2020,3,2,14,0,85.71
Dominica,DMA,4/5/2020,3,2,14,0,85.71
Dominica,DMA,4/6/2020,3,2,14,0,85.71
Dominica,DMA,4/7/2020,3,2,15,0,85.71
Dominica,DMA,4/8/2020,3,2,15,0,85.71
Dominica,DMA,4/9/2020,3,2,15,0,85.71
Dominica,DMA,4/10/2020,3,2,16,0,85.71
Dominica,DMA,4/11/2020,3,2,16,0,85.71
Dominica,DMA,4/12/2020,3,2,16,0,85.71
Dominica,DMA,4/13/2020,3,2,16,0,85.71
Dominica,DMA,4/14/2020,3,2,16,0,85.71
Dominica,DMA,4/15/2020,3,2,16,0,85.71
